scenario,spawn_rate,n_agents,city,avg_stranded,avg_index
A,1000,2087,Nuremberg,128.7,0.0814
A,1000,2087,Rome,206.6,0.058600000000000006
A,1000,2087,Palma,151.5,0.07349999999999998
A,1000,2087,Hannover,281.6,0.15610000000000002
A,1000,2087,Seville,50.1,0.04029999999999999
A,1000,2087,Madrid,317.3,0.0605
A,1000,2087,Munich,319.6,0.0738
A,1000,2087,Amsterdam,1428.8,0.3149
A,1000,2087,Rotterdam,475.8,0.3366
A,1000,2087,Zurich,198.6,0.06720000000000001
A,1000,2087,Vienna,204.7,0.0769
A,1000,2087,Palermo,19.7,0.048799999999999996
A,1000,2087,Brussels,1059.5,0.3418
A,1000,2087,Milan,259.6,0.05569999999999999
A,1000,2087,Geneva,108.7,0.05960000000000001
A,1000,2087,The Hague,263.3,0.3321
A,1000,2087,Hamburg,931.2,0.33680000000000004
A,1000,2087,Dortmund,621.0,0.34340000000000004
A,1000,2087,London,2235.2,0.32710000000000006
A,1000,2087,Utrecht,463.5,0.3335
A,1000,2087,Lisbon,200.0,0.076
A,1000,2087,Lyon,19.1,0.015000000000000003
A,1000,2087,Naples,1.3333333333333333,0.0026666666666666666
A,1000,2087,Turin,28.4,0.0257
A,1000,2087,Bremen,351.9,0.33569999999999994
A,1000,2087,Antwerp,186.5,0.3302
A,1000,2087,Porto,76.5,0.06349999999999999
A,1000,2087,Strasbourg,55.1,0.031999999999999994
A,1000,2087,Stuttgart,43.9,0.037899999999999996
A,1000,2087,Leipzig,39.2,0.030100000000000005
A,1000,2087,Duisburg,423.5,0.31670000000000004
A,1000,2087,Barcelona,269.3,0.0591
A,1000,2087,Lille,244.5,0.3352
A,1000,2087,Venice,71.2,0.051000000000000004
A,1000,2087,Berlin,386.2,0.0999
A,1000,2087,Marseille,37.8,0.027700000000000002
B,1000,2087,Cologne,28.3,0.011099999999999999
B,1000,2087,Milan,86.3,0.0185
B,1000,2087,Geneva,55.7,0.030600000000000006
B,1000,2087,Frankfurt,84.2,0.016300000000000002
B,1000,2087,Hamburg,42.2,0.015300000000000003
B,1000,2087,London,85.0,0.0123
B,1000,2087,Paris,88.0,0.012
B,1000,2087,Lisbon,27.6,0.0104
B,1000,2087,Bremen,2.0,0.002
B,1000,2087,Rome,34.6,0.0098
B,1000,2087,Palma,22.2,0.010899999999999998
B,1000,2087,Porto,10.6,0.008799999999999999
B,1000,2087,Strasbourg,43.6,0.0252
B,1000,2087,Hannover,16.9,0.009200000000000002
B,1000,2087,Seville,9.0,0.007300000000000001
B,1000,2087,Madrid,45.4,0.008499999999999999
B,1000,2087,Munich,51.8,0.011699999999999999
B,1000,2087,Amsterdam,38.9,0.008700000000000001
B,1000,2087,Stuttgart,8.0,0.006900000000000001
B,1000,2087,Leipzig,17.7,0.0137
B,1000,2087,Rotterdam,2.2857142857142856,0.0015714285714285715
B,1000,2087,Zurich,978.9,0.3296
B,1000,2087,Barcelona,42.7,0.0092
B,1000,2087,Vienna,61.8,0.023
B,1000,2087,Palermo,4.2,0.0102
B,1000,2087,Venice,13.2,0.009199999999999998
B,1000,2087,Berlin,22.3,0.0058
B,1000,2087,Marseille,7.9,0.0059
B,1000,2087,Brussels,26.4,0.008499999999999999
C,1000,2087,Murcia,115.8,0.3365
C,1000,2087,Valencia,210.0,0.3337
C,1000,2087,Milan,164.0,0.0351
C,1000,2087,Palma,124.6,0.059999999999999984
C,1000,2087,London,364.3,0.053200000000000004
C,1000,2087,Brussels,76.4,0.0249
C,1000,2087,Madrid,1726.9,0.3284
C,1000,2087,Bilbao,98.4,0.3277
C,1000,2087,Stuttgart,22.6,0.019499999999999997
C,1000,2087,Lisbon,870.1,0.3284
C,1000,2087,Munich,111.6,0.0258
C,1000,2087,Hamburg,55.1,0.0197
C,1000,2087,Bremen,1.25,0.00125
C,1000,2087,Barcelona,445.6,0.0987
C,1000,2087,Amsterdam,158.5,0.034499999999999996
C,1000,2087,Seville,409.6,0.3289
C,1000,2087,Berlin,88.6,0.022799999999999997
C,1000,2087,Porto,398.9,0.3265
C,1000,2087,Geneva,66.0,0.036199999999999996
C,1000,2087,Toulouse,42.8,0.034699999999999995
C,1000,2087,Zurich,88.7,0.029700000000000004
C,1000,2087,Granada,146.2,0.3234
C,1000,2087,Marseille,31.2,0.023
C,1000,2087,Hannover,1.0,0.001
C,1000,2087,Rome,143.7,0.040799999999999996
C,1000,2087,Paris,203.6,0.027800000000000002
C,1000,2087,Lyon,14.2,0.0113
C,1000,2087,Palermo,9.5,0.0235
C,1000,2087,Vienna,108.3,0.040499999999999994
C,1000,2087,Turin,8.7,0.0079
C,1000,2087,Strasbourg,24.6,0.014300000000000002
C,1000,2087,Frankfurt,142.9,0.027500000000000004
C,1000,2087,Cologne,22.1,0.0086
C,1000,2087,Rotterdam,2.875,0.002
C,1000,2087,Venice,48.0,0.03440000000000001
