city_a,city_b,n_flights_annual,avg_seats,air_pax_estimated,distance_km
Birmingham,Cologne,84.0,154.5,10382,
Birmingham,Copenhagen,388.0,92.7,28774,
Birmingham,Edinburgh,1592.0,156.4,199191,
Birmingham,Frankfurt,2079.0,157.5,261954,
Birmingham,Geneva,770.0,171.1,105398,
Birmingham,Hamburg,20.0,149.1,2386,
Birmingham,Helsinki,4.0,149.9,480,
Birmingham,Lisbon,249.0,194.6,38764,
Birmingham,Ljubljana,2.0,150.0,240,
Birmingham,London,500.0,175.6,70240,
Birmingham,Lyon,10.0,165.8,1326,
Birmingham,Madrid,262.0,186.8,39153,
Birmingham,Manchester,394.0,189.9,59856,
Birmingham,Marseille,23.0,149.5,2751,
Birmingham,Milan,368.0,171.0,50342,
Birmingham,Munich,1379.0,146.5,161619,
Birmingham,Naples,6.0,187.6,900,
Birmingham,Nicosia,721.0,196.2,113168,
Birmingham,Nottingham,592.0,150.3,71182,
Birmingham,Oslo,12.0,166.3,1596,
Birmingham,Palermo,0.0,150.0,0,
Birmingham,Palma,2026.0,190.1,308114,
Birmingham,Paris,2041.0,140.7,229735,
Birmingham,Porto,212.0,182.4,30935,
Birmingham,Prague,369.0,169.1,49918,
Birmingham,Riga,6.0,179.4,861,
Birmingham,Rome,350.0,187.7,52556,
Birmingham,Rotterdam,35.0,146.7,4108,
Birmingham,Seville,24.0,168.6,3237,
Birmingham,Stockholm,174.0,173.0,24082,
Birmingham,Strasbourg,12.0,126.3,1212,
Birmingham,Stuttgart,72.0,126.0,7258,
Birmingham,Tallinn,5.0,165.0,660,
Birmingham,Tenerife,8.0,188.2,1204,
Birmingham,Toulouse,128.0,180.6,18493,
Birmingham,Turin,78.0,185.2,11556,
Birmingham,Venice,248.0,186.5,37002,
Birmingham,Vienna,36.0,178.9,5152,
Birmingham,Vilnius,123.0,188.8,18578,
Birmingham,Warsaw,203.0,215.9,35062,
Birmingham,Zurich,583.0,112.9,52657,
Brussels,Bucharest,2177.0,189.0,329162,
Brussels,Budapest,2450.0,179.2,351232,
Brussels,Cologne,490.0,156.3,61270,182.7
Brussels,Copenhagen,3749.0,141.9,425586,
Brussels,Edinburgh,1226.0,166.2,163009,
Brussels,Frankfurt,4572.0,156.4,572049,317.4
Brussels,Geneva,4109.0,156.2,513461,533.5
Brussels,Hamburg,1237.0,146.0,144482,487.7
Brussels,Helsinki,2120.0,153.2,259827,
Brussels,Lisbon,4364.0,170.6,595599,1712.7
Brussels,Ljubljana,496.0,147.7,58607,
Brussels,London,5600.0,182.7,818496,320.3
Brussels,Lyon,525.0,149.7,62874,568.4
Brussels,Madrid,6878.0,182.0,1001437,1316.5
Brussels,Manchester,2676.0,184.1,394121,
Brussels,Marseille,2512.0,167.7,337010,843.5
Brussels,Milan,6903.0,155.1,856524,698.0
Brussels,Munich,4216.0,145.3,490068,602.5
Brussels,Naples,15.0,162.3,1948,1348.8
Brussels,Nicosia,170.0,179.5,24412,
Brussels,Nottingham,1179.0,188.6,177888,
Brussels,Oslo,1992.0,162.8,259438,
Brussels,Palermo,156.0,179.6,22414,1583.5
Brussels,Palma,1323.0,178.8,189242,1261.3
Brussels,Paris,1812.0,183.7,266292,264.3
Brussels,Porto,2310.0,181.8,335966,1467.5
Brussels,Prague,2090.0,163.0,272536,
Brussels,Riga,704.0,143.4,80763,
Brussels,Rome,4726.0,176.5,667311,1175.0
Brussels,Rotterdam,146.0,165.3,19307,119.5
Brussels,Seville,694.0,186.2,103378,1705.5
Brussels,Stockholm,2773.0,146.6,325217,
Brussels,Strasbourg,526.0,168.4,70863,350.9
