from_city,to_city,operator,travel_time_min,frequency_per_day,night_train,iso_code,capacity_seats,avg_pass_per_train_km_eurostat,load_factor_implied,distance_km,rail_demand_proxy,fallback_used
Venice,Rome,Italy,181,133.0,False,IT,400,160.06,0.4001,394.5,8397869.9,False
Vienna,Munich,Germany,226,19.3,False,DE,490,120.59,0.2461,355.7,827873.2,False
Vienna,Nuremberg,Germany,316,7.6,True,DE,490,120.59,0.2461,411.4,377051.4,False
Vienna,Zurich,Switzerland,592,3.0,True,CH,400,106.06,0.2651,591.6,188234.4,False
Zurich,Cologne,Switzerland,447,1.9,True,CH,400,106.06,0.2651,413.3,83285.3,False
Zurich,Frankfurt,Switzerland,250,0.7,True,CH,400,106.06,0.2651,305.8,22703.1,False
Zurich,Geneva,Switzerland,155,149.3,False,CH,400,106.06,0.2651,224.2,3550135.3,False
Zurich,Hamburg,Switzerland,705,0.1,True,CH,400,106.06,0.2651,695.1,7372.2,False
Zurich,Hannover,Switzerland,454,0.3,True,CH,400,106.06,0.2651,562.8,17907.1,False
Zurich,Leipzig,Switzerland,529,1.6,True,CH,400,106.06,0.2651,521.2,88445.1,False
Zurich,Milan,Italy,97,85.0,False,IT,400,160.06,0.4001,217.1,2953583.4,False
Zurich,Paris,France,244,8.1,False,FR,450,276.35,0.6141,489.0,1094598.1,False
Zurich,Strasbourg,Italy,133,6.0,False,IT,400,160.06,0.4001,148.0,142129.2,False
Zurich,Vienna,Switzerland,592,2.4,True,CH,400,106.06,0.2651,591.6,150587.5,False
Porto,Madrid,Renfe/CP,360,1.0,False,EU_avg(fallback=EU_median),400,93.32,0.2333,421.1,39298.1,True
Madrid,Porto,Renfe/CP,360,1.0,False,EU_avg(fallback=EU_median),400,93.32,0.2333,421.1,39298.1,True
