city_a,city_b,distance_km,V_air,V_rail,V_total,weight,air_share,rail_share,has_air,has_rail
Liege,Lyon,545.7560455627877,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Madrid,1343.8669127230523,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Malaga,1739.5666787865355,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Marseille,815.9346086172504,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Milan,634.5537435856988,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Munich,515.6743378911917,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Murcia,1502.2978566150623,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Nantes,643.7244143032066,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Naples,1278.2025445259217,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Nice,781.2135552183129,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Nuremberg,414.63215865403686,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Palermo,1521.4939853083376,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Palma,1251.1585273004107,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Paris,304.3829413181766,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Porto,1517.179426430826,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Rome,1107.8215398354553,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Rotterdam,162.06567388256838,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Seville,1734.0757393452536,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Strasbourg,276.7049460042954,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Stuttgart,331.219204293401,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,The Hague,183.04233709490205,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Toulouse,841.2829431501908,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Turin,638.4241435055011,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Utrecht,164.94423703624383,0.0,310477.6791447095,310477.6791447095,0.0011598653863515085,0.0,1.0,False,True
Liege,Valencia,1324.8553505569016,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Venice,765.4619184817876,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Vienna,825.8206846455934,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Zurich,423.36927952860174,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Lisbon,1633.9338133573622,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,London,242.56631498013962,0.0,933415.6294476198,933415.6294476198,0.0034870026169295013,0.0,1.0,False,True
Lille,Lyon,559.1450744488828,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Madrid,1250.8911697438477,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Malaga,1657.7562963743028,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Marseille,834.5923597581416,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Milan,733.20441640712,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Munich,675.8069982643659,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Murcia,1444.5456083667486,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Nantes,507.4411668518091,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Naples,1389.7044541608234,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Nice,833.4756200659546,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Nuremberg,587.3794776115913,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Palermo,1611.6122741876875,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Palma,1230.7236749022147,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Paris,204.38160143801028,0.0,2275117.2414077558,2275117.2414077558,0.00849925748436963,0.0,1.0,False,True
Lille,Porto,1385.059566213094,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Rome,1211.7496324521053,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Rotterdam,174.18157419085117,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Seville,1637.9957839293827,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Strasbourg,407.5305660477635,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Stuttgart,485.7794181951289,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,The Hague,182.18278382839654,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Toulouse,791.0611023331401,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Turin,708.2821051688694,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Utrecht,216.4121550261043,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Valencia,1269.5598488427438,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Venice,898.6890982395707,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Vienna,998.7203025540426,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lille,Zurich,540.7241871286855,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,London,1585.2431848538122,1756315.6280033255,0.0,1756315.6280033255,0.006561147036530794,1.0,0.0,True,False
Lisbon,Lyon,1388.949398515884,68480.71321736622,0.0,68480.71321736622,0.00025582647072180286,1.0,0.0,True,False
Lisbon,Madrid,503.24357410329327,1351590.5156591742,0.0,1351590.5156591742,0.005049197288360932,1.0,0.0,True,False
Lisbon,Malaga,471.8550145859919,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Marseille,1318.684053418133,153986.28009034166,0.0,153986.28009034166,0.0005752534505598745,1.0,0.0,True,False
Lisbon,Milan,1683.2604407095537,797822.3511405028,0.0,797822.3511405028,0.002980460727787608,1.0,0.0,True,False
Lisbon,Munich,1964.2878788418277,577504.8697825999,0.0,577504.8697825999,0.002157410834670904,1.0,0.0,True,False
Lisbon,Murcia,703.8551634043206,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Nantes,1127.3337068214012,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Naples,2008.767071770221,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Nice,1477.2809729441176,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Nuremberg,1997.6853302634438,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Palermo,1957.5409976420058,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Palma,1021.1502425677912,573076.2709784696,0.0,573076.2709784696,0.0021408667195606055,1.0,0.0,True,False
Lisbon,Paris,1452.7808694931002,999053.2724363564,0.0,999053.2724363564,0.0037322081027282078,1.0,0.0,True,False
Lisbon,Porto,273.3570514023223,367936.2756276865,777746.1914234379,1145682.4670511244,0.004279977359219593,0.32115030665933014,0.6788496933406698,True,True
Lisbon,Rome,1864.931276303158,694228.3504347665,0.0,694228.3504347665,0.0025934599746795088,1.0,0.0,True,False
Lisbon,Rotterdam,1807.1150605026864,30136.861041888857,0.0,30136.861041888857,0.00011258362299043154,1.0,0.0,True,False
Lisbon,Seville,315.6275506578685,256609.84343898282,0.0,256609.84343898282,0.0009586288973231896,1.0,0.0,True,False
Lisbon,Strasbourg,1739.5109602772798,136091.75605435905,0.0,136091.75605435905,0.0005084040748116824,1.0,0.0,True,False
Lisbon,Stuttgart,1840.5389631039866,123750.08984344765,0.0,123750.08984344765,0.00046229875900484713,1.0,0.0,True,False
Lisbon,The Hague,1812.0605179308677,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Toulouse,1038.3572574976363,197714.93016141118,0.0,197714.93016141118,0.0007386125292190247,1.0,0.0,True,False
Lisbon,Turin,1557.77698438031,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Utrecht,1850.3450521222023,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Valencia,761.0602733536219,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lisbon,Venice,1916.0458470543178,219648.53635977118,0.0,219648.53635977118,0.0008205508852948101,1.0,0.0,True,False
Lisbon,Vienna,2298.910517881482,533943.1373805273,0.0,533943.1373805273,0.001994675317831635,1.0,0.0,True,False
Lisbon,Zurich,1723.4287389398812,457170.4253556334,0.0,457170.4253556334,0.0017078720553900103,1.0,0.0,True,False
London,Lyon,736.9911874410639,192663.87046809556,0.0,192663.87046809556,0.0007197430590567543,1.0,0.0,True,False
London,Madrid,1263.580384858784,2833925.469743581,0.0,2833925.469743581,0.010586822437317645,1.0,0.0,True,False
London,Malaga,1678.9994817287693,0.0,0.0,0.0,0.0,0.5,0.5,False,False
London,Marseille,1002.0397771563373,404773.31487972545,0.0,404773.31487972545,0.0015121298205431832,1.0,0.0,True,False
London,Milan,959.3425094731648,2214448.629367143,0.0,2214448.629367143,0.008272615030271996,1.0,0.0,True,False
London,Munich,917.9568792403693,1664260.0750144832,0.0,1664260.0750144832,0.00621725097988886,1.0,0.0,True,False
London,Murcia,1505.5730604444182,0.0,0.0,0.0,0.0,0.5,0.5,False,False
London,Nantes,488.2136236572904,0.0,0.0,0.0,0.0,0.5,0.5,False,False
London,Naples,1616.6886006375466,14599.161340698598,0.0,14599.161340698598,5.453874157873073e-05,1.0,0.0,True,False
London,Nice,1028.5773257479539,0.0,0.0,0.0,0.0,0.5,0.5,False,False
London,Nuremberg,824.0169792664849,0.0,0.0,0.0,0.0,0.5,0.5,False,False
London,Palermo,1823.9122366988177,249572.69742552112,0.0,249572.69742552112,0.0009323399154479049,1.0,0.0,True,False
London,Palma,1344.8003805853234,1357586.6873959869,0.0,1357586.6873959869,0.005071597455958509,1.0,0.0,True,False
London,Paris,343.77088677425985,3274602.1701131556,698910.6847426484,3973512.854855804,0.014844030125663044,0.8241076069784072,0.17589239302159276,True,True
London,Porto,1321.4237747155958,681559.5017180437,0.0,681559.5017180437,0.0025461323885163766,1.0,0.0,True,False
London,Rome,1435.4748065500655,1820434.6475368598,0.0,1820434.6475368598,0.006800679332599911,1.0,0.0,True,False
London,Rotterdam,320.51053807082695,104316.3673920962,0.0,104316.3673920962,0.00038969933072588567,1.0,0.0,True,False
London,Seville,1636.5331862234607,469080.0600740342,0.0,469080.0600740342,0.0017523634117799975,1.0,0.0,True,False
London,Strasbourg,648.8520835236843,409275.12930969585,0.0,409275.12930969585,0.0015289474505495798,1.0,0.0,True,False
London,Stuttgart,728.2308734202173,368032.0568911097,0.0,368032.0568911097,0.0013748738557685172,1.0,0.0,True,False
London,The Hague,310.72132918294335,0.0,0.0,0.0,0.0,0.5,0.5,False,False
London,Toulouse,886.7127802955921,508370.9014253673,0.0,508370.9014253673,0.0018991439694341894,1.0,0.0,True,False
London,Turin,919.0287974765997,255215.14466748855,0.0,255215.14466748855,0.0009534186585907324,1.0,0.0,True,False
London,Utrecht,366.5496959024421,0.0,0.0,0.0,0.0,0.5,0.5,False,False
London,Valencia,1338.332842537733,0.0,0.0,0.0,0.0,0.5,0.5,False,False
London,Venice,1137.3674082285356,604985.3866105697,0.0,604985.3866105697,0.0022600710334833166,1.0,0.0,True,False
London,Vienna,1235.1617433268275,1498651.5976713453,0.0,1498651.5976713453,0.0055985799659666125,1.0,0.0,True,False
London,Zurich,777.3885337872831,1326329.4857969992,0.0,1326329.4857969992,0.00495482852651808,1.0,0.0,True,False
Lyon,Madrid,912.2051324460208,114620.47963263039,0.0,114620.47963263039,0.0004281928648111689,1.0,0.0,True,False
