scenario,p_disrupt,city,avg_stranded,avg_index
B,0.7,Paris,11.0,0.014599999999999998
B,0.7,Stuttgart,1.3333333333333333,0.011333333333333334
B,0.7,Venice,2.0,0.01375
B,0.7,Amsterdam,3.0,0.0064
B,0.7,Hamburg,4.2,0.015399999999999997
B,0.7,Munich,4.2,0.0096
B,0.7,Lisbon,1.8,0.007200000000000001
B,0.7,Madrid,5.8,0.011
B,0.7,Bremen,1.0,0.009
B,0.7,Barcelona,5.4,0.0118
B,0.7,Palma,2.0,0.0098
B,0.7,Zurich,94.4,0.3284
B,0.7,Rotterdam,1.0,0.008
B,0.7,Milan,8.2,0.017800000000000003
B,0.7,Marseille,1.5,0.011
B,0.7,Porto,1.6666666666666667,0.013
B,0.7,Palermo,1.0,0.025333333333333333
B,0.7,Brussels,3.0,0.0092
B,0.7,London,7.8,0.012
B,0.7,Berlin,2.2,0.0058000000000000005
B,0.7,Rome,3.0,0.008799999999999999
B,0.7,Seville,1.25,0.01025
C,0.7,Strasbourg,3.0,0.01675
C,0.7,Granada,17.0,0.37
C,0.7,Cologne,1.5,0.006
C,0.7,Vienna,4.857142857142857,0.018
C,0.7,Geneva,3.1666666666666665,0.018833333333333334
C,0.7,Frankfurt,4.125,0.008
C,0.7,Paris,5.0,0.006666666666666666
C,0.7,Stuttgart,2.1666666666666665,0.017333333333333336
C,0.7,Murcia,10.75,0.28975
C,0.7,Venice,2.5,0.018000000000000002
C,0.7,Lyon,1.3333333333333333,0.012000000000000002
C,0.7,Toulouse,2.2,0.017599999999999998
C,0.7,Amsterdam,6.5,0.013875000000000002
C,0.7,Hamburg,3.0,0.010857142857142857
C,0.7,Munich,3.75,0.008625
C,0.7,Lisbon,53.22222222222222,0.19444444444444442
C,0.7,Madrid,13.0,0.025111111111111115
C,0.7,Barcelona,6.222222222222222,0.013777777777777778
C,0.7,Palma,4.125,0.02
C,0.7,Zurich,2.75,0.009375000000000001
C,0.7,Rotterdam,1.0,0.008
C,0.7,Valencia,5.0,0.07619999999999999
C,0.7,Milan,5.0,0.011000000000000001
C,0.7,Marseille,2.3333333333333335,0.017
C,0.7,Porto,37.44444444444444,0.29444444444444445
C,0.7,Brussels,2.0,0.0063750000000000005
C,0.7,London,11.5,0.017125
C,0.7,Berlin,3.0,0.007666666666666667
C,0.7,Rome,4.5,0.013375
C,0.7,Seville,3.0,0.02316666666666667
A,0.8,Strasbourg,4.222222222222222,0.02322222222222222
A,0.8,Duisburg,40.3,0.29789999999999994
A,0.8,Geneva,5.7,0.0311
A,0.8,Frankfurt,26.4,0.0513
A,0.8,Paris,40.2,0.0541
A,0.8,Venice,4.888888888888889,0.033666666666666664
A,0.8,Antwerp,20.5,0.3613
