city_a,city_b,air_share,rail_share,has_air,has_rail
Barcelona,Bordeaux,0.5,0.5,False,False
Barcelona,Bremen,0.5,0.5,False,False
Barcelona,Brussels,1.0,0.0,True,False
Barcelona,Cologne,1.0,0.0,True,False
Barcelona,Dortmund,0.5,0.5,False,False
Barcelona,Dresden,0.5,0.5,False,False
Barcelona,Duisburg,0.5,0.5,False,False
Barcelona,Dusseldorf,0.5,0.5,False,False
Barcelona,Essen,0.5,0.5,False,False
Barcelona,Frankfurt,1.0,0.0,True,False
Barcelona,Geneva,1.0,0.0,True,False
Barcelona,Genoa,0.5,0.5,False,False
Barcelona,Granada,0.0,1.0,False,True
Barcelona,Hamburg,1.0,0.0,True,False
Barcelona,Hannover,0.5,0.5,False,False
Barcelona,Leipzig,0.5,0.5,False,False
Barcelona,Liege,0.5,0.5,False,False
Barcelona,Lille,0.5,0.5,False,False
Barcelona,Lisbon,1.0,0.0,True,False
Barcelona,London,1.0,0.0,True,False
Barcelona,Lyon,0.21452675743318175,0.7854732425668183,True,True
Barcelona,Madrid,0.6564668588192234,0.3435331411807766,True,True
Barcelona,Malaga,0.5,0.5,False,True
Barcelona,Marseille,0.3832425296156446,0.6167574703843555,True,True
Barcelona,Milan,1.0,0.0,True,False
Barcelona,Munich,1.0,0.0,True,False
Barcelona,Murcia,0.5,0.5,False,False
Barcelona,Nantes,0.5,0.5,False,False
Barcelona,Naples,0.5,0.5,False,False
Barcelona,Nice,0.5,0.5,False,False
Barcelona,Nuremberg,0.5,0.5,False,False
Barcelona,Palermo,1.0,0.0,True,False
Barcelona,Palma,1.0,0.0,True,False
Barcelona,Paris,0.764560277996109,0.23543972200389096,True,True
Barcelona,Porto,1.0,0.0,True,False
Barcelona,Rome,1.0,0.0,True,False
Barcelona,Rotterdam,1.0,0.0,True,False
Barcelona,Seville,0.28425234730990084,0.7157476526900992,True,True
Barcelona,Strasbourg,1.0,0.0,True,False
Barcelona,Stuttgart,1.0,0.0,True,False
Barcelona,The Hague,0.5,0.5,False,False
Barcelona,Toulouse,1.0,0.0,True,False
Barcelona,Turin,1.0,0.0,True,False
Barcelona,Utrecht,0.5,0.5,False,False
Barcelona,Valencia,0.0,1.0,False,True
Barcelona,Venice,1.0,0.0,True,False
Barcelona,Vienna,1.0,0.0,True,False
Barcelona,Zurich,1.0,0.0,True,False
Berlin,Bilbao,0.5,0.5,False,False
Berlin,Bordeaux,0.5,0.5,False,False
Berlin,Bremen,0.0,1.0,False,True
Berlin,Brussels,1.0,0.0,True,False
Berlin,Cologne,1.0,0.0,True,False
Berlin,Dortmund,0.0,1.0,False,True
Berlin,Dresden,0.0,1.0,False,True
Berlin,Duisburg,0.5,0.5,False,False
Berlin,Dusseldorf,0.5,0.5,False,False
Berlin,Essen,0.5,0.5,False,False
Berlin,Frankfurt,0.44292965210866336,0.5570703478913366,True,True
Berlin,Geneva,1.0,0.0,True,False
Berlin,Genoa,0.5,0.5,False,False
Berlin,Granada,0.5,0.5,False,False
Berlin,Hamburg,0.2213040647790315,0.7786959352209685,True,True
Berlin,Hannover,0.0,1.0,False,True
Berlin,Leipzig,0.0,1.0,False,True
Berlin,Liege,0.5,0.5,False,False
Berlin,Lille,0.5,0.5,False,False
Berlin,Lisbon,1.0,0.0,True,False
Berlin,London,1.0,0.0,True,False
Berlin,Lyon,0.5,0.5,False,False
Berlin,Madrid,1.0,0.0,True,False
Berlin,Malaga,0.5,0.5,False,False
Berlin,Marseille,1.0,0.0,True,False
Berlin,Milan,1.0,0.0,True,False
Berlin,Munich,0.426961055209624,0.573038944790376,True,True
Berlin,Murcia,0.5,0.5,False,False
Berlin,Nantes,0.5,0.5,False,False
Berlin,Naples,0.5,0.5,False,False
Berlin,Nice,0.5,0.5,False,False
Berlin,Nuremberg,0.0,1.0,False,True
Berlin,Palermo,1.0,0.0,True,False
Berlin,Palma,1.0,0.0,True,False
Berlin,Paris,1.0,0.0,True,False
Berlin,Porto,1.0,0.0,True,False
Berlin,Rome,1.0,0.0,True,False
Berlin,Rotterdam,1.0,0.0,True,False
Berlin,Seville,0.5,0.5,False,False
Berlin,Strasbourg,1.0,0.0,True,False
Berlin,Stuttgart,1.0,0.0,True,False
Berlin,The Hague,0.5,0.5,False,False
Berlin,Toulouse,0.5,0.5,False,False
Berlin,Turin,0.5,0.5,False,False
Berlin,Utrecht,0.0,1.0,False,True
Berlin,Valencia,0.5,0.5,False,False
Berlin,Venice,1.0,0.0,True,False
Berlin,Vienna,1.0,0.0,True,False
Berlin,Zurich,1.0,0.0,True,False
Bilbao,Bordeaux,0.5,0.5,False,False
Bilbao,Bremen,0.5,0.5,False,False
Bilbao,Brussels,0.5,0.5,False,False
Bilbao,Cologne,0.5,0.5,False,False
Bilbao,Dortmund,0.5,0.5,False,False
Bilbao,Dresden,0.5,0.5,False,False
Bilbao,Duisburg,0.5,0.5,False,False
Bilbao,Dusseldorf,0.5,0.5,False,False
Bilbao,Essen,0.5,0.5,False,False
Bilbao,Frankfurt,0.5,0.5,False,False
Bilbao,Geneva,0.5,0.5,False,False
Bilbao,Genoa,0.5,0.5,False,False
Bilbao,Granada,0.5,0.5,False,False
Bilbao,Hamburg,0.5,0.5,False,False
Bilbao,Hannover,0.5,0.5,False,False
Bilbao,Leipzig,0.5,0.5,False,False
Bilbao,Liege,0.5,0.5,False,False
Bilbao,Lille,0.5,0.5,False,False
Bilbao,Lisbon,0.5,0.5,False,False
Bilbao,London,0.5,0.5,False,False
Bilbao,Lyon,0.5,0.5,False,False
Bilbao,Madrid,0.0,1.0,False,True
Bilbao,Malaga,0.5,0.5,False,False
Bilbao,Marseille,0.5,0.5,False,False
Bilbao,Milan,0.5,0.5,False,False
Bilbao,Munich,0.5,0.5,False,False
Bilbao,Murcia,0.5,0.5,False,False
Bilbao,Nantes,0.5,0.5,False,False
Bilbao,Naples,0.5,0.5,False,False
Bilbao,Nice,0.5,0.5,False,False
Bilbao,Nuremberg,0.5,0.5,False,False
Bilbao,Palermo,0.5,0.5,False,False
Bilbao,Palma,0.5,0.5,False,False
Bilbao,Paris,0.5,0.5,False,False
Bilbao,Porto,0.5,0.5,False,False
Bilbao,Rome,0.5,0.5,False,False
Bilbao,Rotterdam,0.5,0.5,False,False
Bilbao,Seville,0.5,0.5,False,False
Bilbao,Strasbourg,0.5,0.5,False,False
Bilbao,Stuttgart,0.5,0.5,False,False
Bilbao,The Hague,0.5,0.5,False,False
Bilbao,Toulouse,0.5,0.5,False,False
Bilbao,Turin,0.5,0.5,False,False
Bilbao,Utrecht,0.5,0.5,False,False
Bilbao,Valencia,0.5,0.5,False,False
Bilbao,Venice,0.5,0.5,False,False
Bilbao,Vienna,0.5,0.5,False,False
Bilbao,Zurich,0.5,0.5,False,False
Bordeaux,Bremen,0.5,0.5,False,False
Bordeaux,Brussels,0.5,0.5,False,False
Bordeaux,Cologne,0.5,0.5,False,False
Bordeaux,Dortmund,0.5,0.5,False,False
Bordeaux,Dresden,0.5,0.5,False,False
Bordeaux,Duisburg,0.5,0.5,False,False
Bordeaux,Dusseldorf,0.5,0.5,False,False
Bordeaux,Essen,0.5,0.5,False,False
Bordeaux,Frankfurt,0.5,0.5,False,False
Bordeaux,Geneva,0.5,0.5,False,False
Bordeaux,Genoa,0.5,0.5,False,False
Bordeaux,Granada,0.5,0.5,False,False
Bordeaux,Hamburg,0.5,0.5,False,False
Bordeaux,Hannover,0.5,0.5,False,False
Bordeaux,Leipzig,0.5,0.5,False,False
Bordeaux,Liege,0.5,0.5,False,False
Bordeaux,Lille,0.5,0.5,False,False
Bordeaux,Lisbon,0.5,0.5,False,False
Bordeaux,London,0.5,0.5,False,False
Bordeaux,Lyon,0.5,0.5,False,False
Bordeaux,Madrid,0.5,0.5,False,False
Bordeaux,Malaga,0.5,0.5,False,False
Bordeaux,Marseille,0.5,0.5,False,False
Bordeaux,Milan,0.5,0.5,False,False
Bordeaux,Munich,0.5,0.5,False,False
Bordeaux,Murcia,0.5,0.5,False,False
Bordeaux,Nantes,0.0,1.0,False,True
Bordeaux,Naples,0.5,0.5,False,False
Bordeaux,Nice,0.5,0.5,False,False
Bordeaux,Nuremberg,0.5,0.5,False,False
Bordeaux,Palermo,0.5,0.5,False,False
Bordeaux,Palma,0.5,0.5,False,False
Bordeaux,Paris,0.0,1.0,False,True
Bordeaux,Porto,0.5,0.5,False,False
Bordeaux,Rome,0.5,0.5,False,False
Bordeaux,Rotterdam,0.5,0.5,False,False
Bordeaux,Seville,0.5,0.5,False,False
Bordeaux,Strasbourg,0.0,1.0,False,True
Bordeaux,Stuttgart,0.5,0.5,False,False
Bordeaux,The Hague,0.5,0.5,False,False
Bordeaux,Toulouse,0.0,1.0,False,True
Bordeaux,Turin,0.5,0.5,False,False
Bordeaux,Utrecht,0.5,0.5,False,False
Bordeaux,Valencia,0.5,0.5,False,False
Bordeaux,Venice,0.5,0.5,False,False
Bordeaux,Vienna,0.5,0.5,False,False
Bordeaux,Zurich,0.5,0.5,False,False
Bremen,Brussels,0.5,0.5,False,False
Bremen,Cologne,0.0,1.0,False,True
Bremen,Dortmund,0.0,1.0,False,True
Bremen,Dresden,0.5,0.5,False,False
Bremen,Duisburg,0.5,0.5,False,False
Bremen,Dusseldorf,0.5,0.5,False,False
Bremen,Essen,0.0,1.0,False,True
Bremen,Frankfurt,0.5,0.5,False,False
Bremen,Geneva,0.5,0.5,False,False
Bremen,Genoa,0.5,0.5,False,False
Bremen,Granada,0.5,0.5,False,False
Bremen,Hamburg,0.0,1.0,False,True
Bremen,Hannover,0.0,1.0,False,True
Bremen,Leipzig,0.5,0.5,False,False
Bremen,Liege,0.5,0.5,False,False
Bremen,Lille,0.5,0.5,False,False
Bremen,Lisbon,0.5,0.5,False,False
Bremen,London,0.5,0.5,False,False
Bremen,Lyon,0.5,0.5,False,False
Bremen,Madrid,0.5,0.5,False,False
Bremen,Malaga,0.5,0.5,False,False
Bremen,Marseille,0.5,0.5,False,False
Bremen,Milan,0.5,0.5,False,False
Bremen,Munich,0.5,0.5,False,False
Bremen,Murcia,0.5,0.5,False,False
Bremen,Nantes,0.5,0.5,False,False
Bremen,Naples,0.5,0.5,False,False
Bremen,Nice,0.5,0.5,False,False
Bremen,Nuremberg,0.5,0.5,False,False
Bremen,Palermo,0.5,0.5,False,False
Bremen,Palma,0.5,0.5,False,False
Bremen,Paris,0.5,0.5,False,False
Bremen,Porto,0.5,0.5,False,False
Bremen,Rome,0.5,0.5,False,False
Bremen,Rotterdam,0.5,0.5,False,False
Bremen,Seville,0.5,0.5,False,False
Bremen,Strasbourg,0.5,0.5,False,False
Bremen,Stuttgart,0.5,0.5,False,False
Bremen,The Hague,0.5,0.5,False,False
Bremen,Toulouse,0.5,0.5,False,False
Bremen,Turin,0.5,0.5,False,False
Bremen,Utrecht,0.0,1.0,False,True
Bremen,Valencia,0.5,0.5,False,False
Bremen,Venice,0.5,0.5,False,False
Bremen,Vienna,0.5,0.5,False,False
Bremen,Zurich,0.5,0.5,False,False
Brussels,Cologne,0.2040831863994302,0.7959168136005698,True,True
Brussels,Dortmund,0.5,0.5,False,False
Brussels,Dresden,0.5,0.5,False,False
Brussels,Duisburg,0.5,0.5,False,False
Brussels,Dusseldorf,0.5,0.5,False,False
Brussels,Essen,0.5,0.5,False,False
Brussels,Frankfurt,1.0,0.0,True,False
Brussels,Geneva,1.0,0.0,True,False
Brussels,Genoa,0.5,0.5,False,False
Brussels,Granada,0.5,0.5,False,False
Brussels,Hamburg,1.0,0.0,True,False
Brussels,Hannover,0.5,0.5,False,False
Brussels,Leipzig,0.5,0.5,False,False
Brussels,Liege,0.0,1.0,False,True
Brussels,Lille,0.0,1.0,False,True
Brussels,Lisbon,1.0,0.0,True,False
Brussels,London,0.6056750047184462,0.39432499528155385,True,True
Brussels,Lyon,1.0,0.0,True,False
Brussels,Madrid,1.0,0.0,True,False
Brussels,Malaga,0.5,0.5,False,False
Brussels,Marseille,1.0,0.0,True,False
Brussels,Milan,1.0,0.0,True,False
Brussels,Munich,0.6472186032195381,0.35278139678046194,True,True
Brussels,Murcia,0.5,0.5,False,False
Brussels,Nantes,0.5,0.5,False,False
Brussels,Naples,0.5,0.5,False,False
Brussels,Nice,0.5,0.5,False,False
Brussels,Nuremberg,0.5,0.5,False,False
Brussels,Palermo,1.0,0.0,True,False
Brussels,Palma,1.0,0.0,True,False
Brussels,Paris,0.41963504180978956,0.5803649581902104,True,True
Brussels,Porto,1.0,0.0,True,False
Brussels,Rome,1.0,0.0,True,False
Brussels,Rotterdam,0.05092204022193846,0.9490779597780615,True,True
Brussels,Seville,1.0,0.0,True,False
Brussels,Strasbourg,1.0,0.0,True,False
Brussels,Stuttgart,1.0,0.0,True,False
Brussels,The Hague,0.5,0.5,False,False
Brussels,Toulouse,1.0,0.0,True,False
Brussels,Turin,1.0,0.0,True,False
Brussels,Utrecht,0.5,0.5,False,False
Brussels,Valencia,0.5,0.5,False,False
Brussels,Venice,1.0,0.0,True,False
Brussels,Vienna,1.0,0.0,True,False
Brussels,Zurich,1.0,0.0,True,False
Cologne,Dortmund,0.5,0.5,False,False
Cologne,Dresden,0.5,0.5,False,False
Cologne,Duisburg,0.0,1.0,False,True
Cologne,Dusseldorf,0.0,1.0,False,True
Cologne,Essen,0.0,1.0,False,True
Cologne,Frankfurt,0.13549465750414066,0.8645053424958593,True,True
Cologne,Geneva,1.0,0.0,True,False
Cologne,Genoa,0.5,0.5,False,False
Cologne,Granada,0.5,0.5,False,False
Cologne,Hamburg,1.0,0.0,True,False
Cologne,Hannover,0.5,0.5,False,False
Cologne,Leipzig,0.5,0.5,False,False
Cologne,Liege,0.0,1.0,False,True
Cologne,Lille,0.5,0.5,False,False
Cologne,Lisbon,1.0,0.0,True,False
Cologne,London,1.0,0.0,True,False
Cologne,Lyon,1.0,0.0,True,False
Cologne,Madrid,1.0,0.0,True,False
Cologne,Malaga,0.5,0.5,False,False
Cologne,Marseille,1.0,0.0,True,False
Cologne,Milan,1.0,0.0,True,False
Cologne,Munich,0.2052540920681788,0.7947459079318212,True,True
Cologne,Murcia,0.5,0.5,False,False
Cologne,Nantes,0.5,0.5,False,False
Cologne,Naples,0.5,0.5,False,False
Cologne,Nice,0.5,0.5,False,False
Cologne,Nuremberg,0.5,0.5,False,False
Cologne,Palermo,1.0,0.0,True,False
Cologne,Palma,1.0,0.0,True,False
Cologne,Paris,1.0,0.0,True,False
Cologne,Porto,1.0,0.0,True,False
Cologne,Rome,1.0,0.0,True,False
Cologne,Rotterdam,1.0,0.0,True,False
Cologne,Seville,1.0,0.0,True,False
Cologne,Strasbourg,0.09031054690250648,0.9096894530974935,True,True
Cologne,Stuttgart,0.04328007001629219,0.9567199299837078,True,True
Cologne,The Hague,0.5,0.5,False,False
Cologne,Toulouse,0.5,0.5,False,False
Cologne,Turin,0.5,0.5,False,False
Cologne,Utrecht,0.0,1.0,False,True
Cologne,Valencia,0.5,0.5,False,False
Cologne,Venice,1.0,0.0,True,False
Cologne,Vienna,1.0,0.0,True,False
Cologne,Zurich,0.30619134178212143,0.6938086582178786,True,True
Dortmund,Dresden,0.5,0.5,False,False
Dortmund,Duisburg,0.0,1.0,False,True
Dortmund,Dusseldorf,0.0,1.0,False,True
Dortmund,Essen,0.0,1.0,False,True
Dortmund,Frankfurt,0.0,1.0,False,True
Dortmund,Geneva,0.5,0.5,False,False
Dortmund,Genoa,0.5,0.5,False,False
Dortmund,Granada,0.5,0.5,False,False
Dortmund,Hamburg,0.5,0.5,False,False
Dortmund,Hannover,0.0,1.0,False,True
Dortmund,Leipzig,0.0,1.0,False,True
Dortmund,Liege,0.5,0.5,False,False
Dortmund,Lille,0.5,0.5,False,False
Dortmund,Lisbon,0.5,0.5,False,False
Dortmund,London,0.5,0.5,False,False
Dortmund,Lyon,0.5,0.5,False,False
Dortmund,Madrid,0.5,0.5,False,False
Dortmund,Malaga,0.5,0.5,False,False
Dortmund,Marseille,0.5,0.5,False,False
Dortmund,Milan,0.5,0.5,False,False
Dortmund,Munich,0.0,1.0,False,True
Dortmund,Murcia,0.5,0.5,False,False
Dortmund,Nantes,0.5,0.5,False,False
Dortmund,Naples,0.5,0.5,False,False
Dortmund,Nice,0.5,0.5,False,False
Dortmund,Nuremberg,0.0,1.0,False,True
Dortmund,Palermo,0.5,0.5,False,False
Dortmund,Palma,0.5,0.5,False,False
Dortmund,Paris,0.5,0.5,False,False
Dortmund,Porto,0.5,0.5,False,False
Dortmund,Rome,0.5,0.5,False,False
Dortmund,Rotterdam,0.5,0.5,False,False
Dortmund,Seville,0.5,0.5,False,False
Dortmund,Strasbourg,0.5,0.5,False,False
Dortmund,Stuttgart,0.5,0.5,False,False
Dortmund,The Hague,0.5,0.5,False,False
Dortmund,Toulouse,0.5,0.5,False,False
Dortmund,Turin,0.5,0.5,False,False
Dortmund,Utrecht,0.0,1.0,False,True
Dortmund,Valencia,0.5,0.5,False,False
Dortmund,Venice,0.5,0.5,False,False
Dortmund,Vienna,0.5,0.5,False,False
Dortmund,Zurich,0.5,0.5,False,False
Dresden,Duisburg,0.5,0.5,False,False
Dresden,Dusseldorf,0.5,0.5,False,False
Dresden,Essen,0.5,0.5,False,False
Dresden,Frankfurt,0.5,0.5,False,False
Dresden,Geneva,0.5,0.5,False,False
Dresden,Genoa,0.5,0.5,False,False
Dresden,Granada,0.5,0.5,False,False
Dresden,Hamburg,0.5,0.5,False,False
Dresden,Hannover,0.5,0.5,False,False
Dresden,Leipzig,0.0,1.0,False,True
Dresden,Liege,0.5,0.5,False,False
Dresden,Lille,0.5,0.5,False,False
Dresden,Lisbon,0.5,0.5,False,False
Dresden,London,0.5,0.5,False,False
Dresden,Lyon,0.5,0.5,False,False
Dresden,Madrid,0.5,0.5,False,False
Dresden,Malaga,0.5,0.5,False,False
Dresden,Marseille,0.5,0.5,False,False
Dresden,Milan,0.5,0.5,False,False
Dresden,Munich,0.5,0.5,False,False
Dresden,Murcia,0.5,0.5,False,False
Dresden,Nantes,0.5,0.5,False,False
Dresden,Naples,0.5,0.5,False,False
Dresden,Nice,0.5,0.5,False,False
Dresden,Nuremberg,0.5,0.5,False,False
Dresden,Palermo,0.5,0.5,False,False
Dresden,Palma,0.5,0.5,False,False
Dresden,Paris,0.5,0.5,False,False
Dresden,Porto,0.5,0.5,False,False
Dresden,Rome,0.5,0.5,False,False
Dresden,Rotterdam,0.5,0.5,False,False
Dresden,Seville,0.5,0.5,False,False
Dresden,Strasbourg,0.5,0.5,False,False
Dresden,Stuttgart,0.5,0.5,False,False
Dresden,The Hague,0.5,0.5,False,False
Dresden,Toulouse,0.5,0.5,False,False
Dresden,Turin,0.5,0.5,False,False
Dresden,Utrecht,0.5,0.5,False,False
Dresden,Valencia,0.5,0.5,False,False
Dresden,Venice,0.5,0.5,False,False
Dresden,Vienna,0.5,0.5,False,False
Dresden,Zurich,0.5,0.5,False,False
Duisburg,Dusseldorf,0.0,1.0,False,True
Duisburg,Essen,0.0,1.0,False,True
Duisburg,Frankfurt,0.5,0.5,False,False
Duisburg,Geneva,0.5,0.5,False,False
Duisburg,Genoa,0.5,0.5,False,False
Duisburg,Granada,0.5,0.5,False,False
Duisburg,Hamburg,0.5,0.5,False,False
Duisburg,Hannover,0.5,0.5,False,False
Duisburg,Leipzig,0.5,0.5,False,False
Duisburg,Liege,0.5,0.5,False,False
Duisburg,Lille,0.5,0.5,False,False
Duisburg,Lisbon,0.5,0.5,False,False
Duisburg,London,0.5,0.5,False,False
Duisburg,Lyon,0.5,0.5,False,False
Duisburg,Madrid,0.5,0.5,False,False
Duisburg,Malaga,0.5,0.5,False,False
Duisburg,Marseille,0.5,0.5,False,False
Duisburg,Milan,0.5,0.5,False,False
Duisburg,Munich,0.5,0.5,False,False
Duisburg,Murcia,0.5,0.5,False,False
Duisburg,Nantes,0.5,0.5,False,False
Duisburg,Naples,0.5,0.5,False,False
Duisburg,Nice,0.5,0.5,False,False
Duisburg,Nuremberg,0.0,1.0,False,True
Duisburg,Palermo,0.5,0.5,False,False
Duisburg,Palma,0.5,0.5,False,False
Duisburg,Paris,0.5,0.5,False,False
Duisburg,Porto,0.5,0.5,False,False
Duisburg,Rome,0.5,0.5,False,False
Duisburg,Rotterdam,0.5,0.5,False,False
Duisburg,Seville,0.5,0.5,False,False
Duisburg,Strasbourg,0.5,0.5,False,False
Duisburg,Stuttgart,0.5,0.5,False,False
Duisburg,The Hague,0.5,0.5,False,False
Duisburg,Toulouse,0.5,0.5,False,False
Duisburg,Turin,0.5,0.5,False,False
Duisburg,Utrecht,0.0,1.0,False,True
Duisburg,Valencia,0.5,0.5,False,False
Duisburg,Venice,0.5,0.5,False,False
Duisburg,Vienna,0.5,0.5,False,False
Duisburg,Zurich,0.5,0.5,False,False
Dusseldorf,Essen,0.0,1.0,False,True
Dusseldorf,Frankfurt,0.0,1.0,False,True
Dusseldorf,Geneva,0.5,0.5,False,False
Dusseldorf,Genoa,0.5,0.5,False,False
Dusseldorf,Granada,0.5,0.5,False,False
Dusseldorf,Hamburg,0.5,0.5,False,False
Dusseldorf,Hannover,0.5,0.5,False,False
Dusseldorf,Leipzig,0.5,0.5,False,False
Dusseldorf,Liege,0.0,1.0,False,True
Dusseldorf,Lille,0.5,0.5,False,False
Dusseldorf,Lisbon,0.5,0.5,False,False
Dusseldorf,London,0.5,0.5,False,False
Dusseldorf,Lyon,0.5,0.5,False,False
Dusseldorf,Madrid,0.5,0.5,False,False
Dusseldorf,Malaga,0.5,0.5,False,False
Dusseldorf,Marseille,0.5,0.5,False,False
Dusseldorf,Milan,0.5,0.5,False,False
Dusseldorf,Munich,0.5,0.5,False,False
Dusseldorf,Murcia,0.5,0.5,False,False
Dusseldorf,Nantes,0.5,0.5,False,False
Dusseldorf,Naples,0.5,0.5,False,False
Dusseldorf,Nice,0.5,0.5,False,False
Dusseldorf,Nuremberg,0.5,0.5,False,False
Dusseldorf,Palermo,0.5,0.5,False,False
Dusseldorf,Palma,0.5,0.5,False,False
Dusseldorf,Paris,0.5,0.5,False,False
Dusseldorf,Porto,0.5,0.5,False,False
Dusseldorf,Rome,0.5,0.5,False,False
Dusseldorf,Rotterdam,0.5,0.5,False,False
Dusseldorf,Seville,0.5,0.5,False,False
Dusseldorf,Strasbourg,0.5,0.5,False,False
Dusseldorf,Stuttgart,0.5,0.5,False,False
Dusseldorf,The Hague,0.5,0.5,False,False
Dusseldorf,Toulouse,0.5,0.5,False,False
Dusseldorf,Turin,0.5,0.5,False,False
Dusseldorf,Utrecht,0.0,1.0,False,True
Dusseldorf,Valencia,0.5,0.5,False,False
Dusseldorf,Venice,0.5,0.5,False,False
Dusseldorf,Vienna,0.5,0.5,False,False
Dusseldorf,Zurich,0.5,0.5,False,False
